time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
0.0,1e-06,4.5e-07,0.64,0,0.00020480000000000002,2.5e-07,0.0,0.0
0.001,1e-06,4.5e-07,0.6400003906248808,0,0.00020480025000000002,2.5e-07,0.0,0.0
0.002,1e-06,4.5e-07,0.6400007812495232,0,0.00020480050000000003,2.5e-07,0.0,0.0
0.003,1e-06,4.5e-07,0.6400011718739271,0,0.00020480075000000003,2.5e-07,0.0,0.0
0.004,1e-06,4.5e-07,0.6400015624980927,0,0.00020480100000000003,2.5e-07,0.0,0.0
0.005,1e-06,4.5e-07,0.6400019531220198,0,0.00020480125000000004,2.5e-07,0.0,0.0
0.006,1e-06,4.5e-07,0.6400023437457085,0,0.00020480150000000004,2.5e-07,0.0,0.0
0.007,1e-06,4.5e-07,0.6400027343691588,0,0.00020480175000000005,2.5e-07,0.0,0.0
0.008,1e-06,4.5e-07,0.6400031249923707,0,0.00020480200000000005,2.5e-07,0.0,0.0
0.009000000000000001,1e-06,4.5e-07,0.6400035156153442,0,0.00020480225000000005,2.5e-07,0.0,0.0
0.01,1e-06,4.5e-07,0.6400039062380792,0,0.00020480250000000006,2.5e-07,0.0,0.0
0.011,1e-06,4.5e-07,0.6400042968605759,0,0.00020480275000000006,2.5e-07,0.0,0.0
0.012,1e-06,4.5e-07,0.6400046874828341,0,0.00020480300000000007,2.5e-07,0.0,0.0
0.013000000000000001,1e-06,4.5e-07,0.6400050781048539,0,0.00020480325000000007,2.5e-07,0.0,0.0
0.014,1e-06,4.5e-07,0.6400054687266352,0,0.00020480350000000007,2.5e-07,0.0,0.0
0.015,1e-06,4.5e-07,0.6400058593481782,0,0.00020480375000000008,2.5e-07,0.0,0.0
0.016,1e-06,4.5e-07,0.6400062499694829,0,0.00020480400000000008,2.5e-07,0.0,0.0
0.017,1e-06,4.5e-07,0.640006640590549,0,0.00020480425000000008,2.5e-07,0.0,0.0
0.018000000000000002,1e-06,4.5e-07,0.6400070312113767,0,0.0002048045000000001,2.5e-07,0.0,0.0
0.019,1e-06,4.5e-07,0.6400074218319661,0,0.0002048047500000001,2.5e-07,0.0,0.0
0.02,1e-06,4.5e-07,0.640007812452317,0,0.0002048050000000001,2.5e-07,0.0,0.0
0.021,1e-06,4.5e-07,0.6400082030724296,0,0.0002048052500000001,2.5e-07,0.0,0.0
0.022,1e-06,4.5e-07,0.6400085936923037,0,0.0002048055000000001,2.5e-07,0.0,0.0
0.023,1e-06,4.5e-07,0.6400089843119393,0,0.0002048057500000001,2.5e-07,0.0,0.0
0.024,1e-06,4.5e-07,0.6400093749313366,0,0.0002048060000000001,2.5e-07,0.0,0.0
0.025,1e-06,4.5e-07,0.6400097655504955,0,0.00020480625000000012,2.5e-07,0.0,0.0
0.026000000000000002,1e-06,4.5e-07,0.6400101561694159,0,0.00020480650000000012,2.5e-07,0.0,0.0
0.027,1e-06,4.5e-07,0.6400105467880981,0,0.00020480675000000012,2.5e-07,0.0,0.0
0.028,1e-06,4.5e-07,0.6400109374065417,0,0.00020480700000000013,2.5e-07,0.0,0.0
0.029,1e-06,4.5e-07,0.640011328024747,0,0.00020480725000000013,2.5e-07,0.0,0.0
0.03,1e-06,4.5e-07,0.6400117186427138,0,0.00020480750000000014,2.5e-07,0.0,0.0
0.031,1e-06,4.5e-07,0.6400121092604423,0,0.00020480775000000014,2.5e-07,0.0,0.0
0.032,1e-06,4.5e-07,0.6400124998779323,0,0.00020480800000000014,2.5e-07,0.0,0.0
0.033,1e-06,4.5e-07,0.640012890495184,0,0.00020480825000000015,2.5e-07,0.0,0.0
0.034,1e-06,4.5e-07,0.6400132811121971,0,0.00020480850000000015,2.5e-07,0.0,0.0
0.035,1e-06,4.5e-07,0.640013671728972,0,0.00020480875000000016,2.5e-07,0.0,0.0
